"last_name, first_name","player_id","year","p_win","p_loss","p_era"
"Greinke, Zack","425844","2023","2","15","5.06"
"Verlander, Justin","434378","2023","13","8","3.22"
"Hill, Rich","448179","2023","8","14","5.41"
"Morton, Charlie","450203","2023","14","12","3.64"
"Scherzer, Max","453286","2023","13","6","3.77"
"Lynn, Lance","458681","2023","13","11","5.73"
"Kershaw, Clayton","477132","2023","13","5","2.46"
"Gibson, Kyle","502043","2023","15","9","4.73"
"Cobb, Alex","502171","2023","7","7","3.87"
"Darvish, Yu","506433","2023","8","10","4.56"
"Kelly, Merrill","518876","2023","12","8","3.29"
"Pérez, Martín","527048","2023","10","4","4.45"
"Anderson, Tyler","542881","2023","6","6","5.43"
"Cole, Gerrit","543037","2023","15","4","2.63"
"Eovaldi, Nathan","543135","2023","12","5","3.63"
"Gray, Sonny","543243","2023","8","8","2.79"
"Hendricks, Kyle","543294","2023","6","8","3.74"
"Lyles, Jordan","543475","2023","6","17","6.28"
"Lorenzen, Michael","547179","2023","9","9","4.18"
"Wheeler, Zack","554430","2023","13","6","3.61"
"Corbin, Patrick","571578","2023","10","15","5.20"
"Heaney, Andrew","571760","2023","10","6","4.15"
"Mikolas, Miles","571945","2023","9","13","4.78"
"Stroman, Marcus","573186","2023","10","9","3.95"
"Kikuchi, Yusei","579328","2023","11","6","3.86"
"Gausman, Kevin","592332","2023","12","9","3.16"
"Gray, Jon","592351","2023","9","8","4.12"
"Smyly, Drew","592767","2023","11","11","5.00"
"Taillon, Jameson","592791","2023","8","10","4.84"
"Walker, Taijuan","592836","2023","15","6","4.38"
"Williams, Trevor","592866","2023","6","10","5.55"
"Rodriguez, Eduardo","593958","2023","13","9","3.30"
"Weaver, Luke","596133","2023","3","6","6.40"
"Gomber, Austin","596295","2023","9","9","5.50"
"Pivetta, Nick","601713","2023","10","9","4.04"
"Bassitt, Chris","605135","2023","16","8","3.60"
"Clevinger, Mike","605182","2023","9","9","3.77"
"Nola, Aaron","605400","2023","12","9","4.46"
"Snell, Blake","605483","2023","14","9","2.25"
"Rea, Colin","607067","2023","6","6","4.55"
"Freeland, Kyle","607536","2023","6","14","5.03"
"Lugo, Seth","607625","2023","8","7","3.57"
"Giolito, Lucas","608337","2023","8","15","4.88"
"Wacha, Michael","608379","2023","14","4","3.22"
"Eflin, Zach","621107","2023","16","8","3.50"
"Berríos, José","621244","2023","11","12","3.65"
"Castillo, Luis","622491","2023","14","9","3.34"
"Suárez, Ranger","624133","2023","4","6","4.18"
"López, Pablo","641154","2023","11","8","3.66"
"Dunning, Dane","641540","2023","12","7","3.70"
"France, J.P.","641585","2023","11","6","3.83"
"Ober, Bailey","641927","2023","8","6","3.43"
"Peralta, Freddy","642547","2023","12","10","3.86"
"Alcantara, Sandy","645261","2023","7","12","4.14"
"Civale, Aaron","650644","2023","7","5","3.46"
"Canning, Griffin","656288","2023","7","8","4.32"
"Cease, Dylan","656302","2023","7","9","4.58"
"Flaherty, Jack","656427","2023","8","9","4.99"
"Keller, Mitch","656605","2023","13","9","4.21"
"Kopech, Michael","656629","2023","5","12","5.43"
"Megill, Tylor","656731","2023","9","8","4.70"
"Montgomery, Jordan","656756","2023","10","11","3.20"
"Steele, Justin","657006","2023","16","5","3.06"
"Webb, Logan","657277","2023","11","13","3.25"
"Schmidt, Clarke","657376","2023","9","9","4.64"
"Ryan, Joe","657746","2023","11","10","4.51"
"Ohtani, Shohei","660271","2023","10","5","3.14"
"Irvin, Jake","663623","2023","3","7","4.61"
"Sandoval, Patrick","663776","2023","7","13","4.11"
"Singer, Brady","663903","2023","8","11","5.52"
"Valdez, Framber","664285","2023","12","11","3.45"
"Javier, Cristian","664299","2023","10","5","4.56"
"Kremer, Dean","665152","2023","13","5","4.12"
"Garrett, Braxton","666129","2023","9","7","3.66"
"Luzardo, Jesús","666200","2023","10","10","3.58"
"Gallen, Zac","668678","2023","17","9","3.47"
"Ashcraft, Graham","668933","2023","7","9","4.76"
"Gore, MacKenzie","669022","2023","7","10","4.42"
"Nelson, Ryne","669194","2023","8","8","5.31"
"Burnes, Corbin","669203","2023","10","8","3.39"
"Gilbert, Logan","669302","2023","13","7","3.73"
"Bieber, Shane","669456","2023","6","6","3.80"
"Kirby, George","669923","2023","13","10","3.35"
"Oviedo, Johan","670912","2023","9","14","4.31"
"Allen, Logan","671106","2023","7","8","3.81"
"Detmers, Reid","672282","2023","4","10","4.48"
"Senga, Kodai","673540","2023","12","7","2.98"
"Strider, Spencer","675911","2023","20","5","3.86"
"Miller, Bobby","676272","2023","11","4","3.76"
"Bibee, Tanner","676440","2023","10","4","2.98"
"Sears, JP","676664","2023","5","14","4.54"
"Crawford, Kutter","676710","2023","6","8","4.04"
"Bello, Brayan","678394","2023","12","11","4.24"
"Rodriguez, Grayson","680570","2023","7","4","4.35"
"Gray, Josiah","680686","2023","8","13","3.91"
"Bradish, Kyle","680694","2023","12","7","2.83"
"Miller, Bryce","682243","2023","8","7","4.32"
"Waldichuk, Ken","686610","2023","4","9","5.36"
"Brown, Hunter","686613","2023","11","13","5.09"
"Elder, Bryce","693821","2023","12","4","3.81"
