"last_name, first_name",player_id,year,player_age,p_game,p_formatted_ip,pa,k_percent,bb_percent,xba,xslg,woba,xwoba,solidcontact_percent,poorlyweak_percent,hard_hit_percent,whiff_percent,swing_percent,groundballs_percent,flyballs_percent,linedrives_percent,popups_percent,pitch_hand,n,n_ff_formatted,ff_avg_speed,ff_avg_spin,ff_avg_break_x,ff_avg_break_z,ff_avg_break,ff_range_speed,n_sl_formatted,sl_avg_speed,sl_avg_spin,sl_avg_break_x,sl_avg_break_z,sl_avg_break,sl_range_speed,n_ch_formatted,ch_avg_speed,ch_avg_spin,ch_avg_break_x,ch_avg_break_z,ch_avg_break,ch_range_speed,n_cu_formatted,cu_avg_speed,cu_avg_spin,cu_avg_break_x,cu_avg_break_z,cu_avg_break,cu_range_speed,n_si_formatted,si_avg_speed,si_avg_spin,si_avg_break_x,si_avg_break_z,si_avg_break,si_range_speed,n_fc_formatted,fc_avg_speed,fc_avg_spin,fc_avg_break_x,fc_avg_break_z,fc_avg_break,fc_range_speed,n_fs_formatted,fs_avg_speed,fs_avg_spin,fs_avg_break_x,fs_avg_break_z,fs_avg_break,fs_range_speed,n_kn_formatted,kn_avg_speed,kn_avg_spin,kn_avg_break_x,kn_avg_break_z,kn_avg_break,kn_range_speed,n_st_formatted,st_avg_speed,st_avg_spin,st_avg_break_x,st_avg_break_z,st_avg_break,st_range_speed,n_sv_formatted,sv_avg_speed,sv_avg_spin,sv_avg_break_x,sv_avg_break_z,sv_avg_break,sv_range_speed,n_fo_formatted,fo_avg_speed,fo_avg_spin,fo_avg_break_x,fo_avg_break_z,fo_avg_break,fo_range_speed,n_sc_formatted,sc_avg_speed,sc_avg_spin,sc_avg_break_x,sc_avg_break_z,sc_avg_break,sc_range_speed
"Berríos, José",621244,2023,29,32,189.2,782,23.5,6.6,0.261,0.437,0.302,0.326,4.8,3.7,35.8,25.4,46.5,42.1,25.1,26.6,6.1,R,2937,20.4,94.3,2227,-8.9,-15,18.3,1.3,,,,,,,,18.5,84.1,1436,-14.2,-34.4,15.1,2.5,,,,,,,,31.5,93.8,2118,-15.6,-19.2,19.8,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.6,82.6,2376,15.6,-45.4,16.5,2.1,,,,,,,,,,,,,,
"Rodriguez, Grayson",680570,2023,23,23,122,515,25,8.2,0.255,0.407,0.32,0.316,7.6,3.2,43.7,26.3,50.4,46.9,23.5,25.5,4.1,R,2104,49.6,97.4,2270,-11.4,-13.2,19.7,1.6,0.4,87.4,2521,3,-28.4,8.5,1.5,22.4,83.9,1851,-12.4,-36.1,13,1.5,8.1,79.9,2629,9.1,-55.9,15.9,1.7,,,,,,,,5.2,90,2226,2.1,-24.4,9.9,1.8,,,,,,,,,,,,,,,14.4,82.3,2405,11.3,-36.7,12.7,2.1,,,,,,,,,,,,,,,,,,,,,
"Tonkin, Michael",543859,2023,33,45,80,325,23.1,7.1,0.24,0.403,0.283,0.305,5.8,5.3,40,24.8,50.3,38.7,27.1,23.1,11.1,R,1283,60.8,93.5,2304,-12.3,-20.4,16.6,1.1,37.3,83.1,2266,3.3,-42.8,5.1,1.3,,,,,,,,,,,,,,,0.4,92.6,2267,-17.4,-23.5,19.5,1.4,,,,,,,,,,,,,,,,,,,,,,1.6,79.9,2348,17.8,-44.7,18,1.4,,,,,,,,,,,,,,,,,,,,,
"Keller, Brad",641745,2023,27,11,45.1,211,14.7,21.3,0.233,0.382,0.364,0.361,1.5,2.3,36.4,22.8,37.5,57.6,19.7,18.2,4.5,R,877,31.1,93.3,2313,2.1,-19.2,12.4,1.7,23.9,84.3,2535,11.4,-40,11.8,1.9,12.3,90.8,1674,-9.4,-29.1,10.4,1.5,19.7,85.1,2519,4.4,-44.8,8.7,1.9,10.4,92.5,2233,-10.1,-25.3,12.1,1.7,,,,,,,,,,,,,,,,,,,,,,2.5,84.3,2538,18.4,-41.7,18.7,1.5,,,,,,,,,,,,,,,,,,,,,
"Hoeing, Bryan",663773,2023,26,33,70.2,304,17.4,8.2,0.271,0.488,0.347,0.35,6.7,2.2,44.2,21.9,43.8,45.1,30.4,23.2,1.3,R,1124,8.9,93.9,2067,-12.2,-19.4,17.2,1.3,31.8,83.2,2260,3.2,-44.1,5.8,1.4,2.6,87.2,1647,-17.3,-29.4,18.7,1.7,,,,,,,,52.6,94.1,2021,-17.5,-24.2,18.9,1.1,,,,,,,,4.2,84.9,1063,-11.1,-32.2,12.8,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Detmers, Reid",672282,2023,23,28,148.2,644,26.1,9.3,0.253,0.398,0.321,0.327,7.4,2.7,41.4,27.1,48.8,37.2,27.5,29.3,6,L,2599,43.2,94.3,2095,11,-15.1,19.4,1.3,30.9,88.9,2079,-1.3,-31.8,5,2.2,5.4,84.8,1493,12.7,-30,15.2,1.4,19.4,74.7,2414,-11.4,-64.5,18.8,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,83.5,2478,-8,-46.8,11.2,1.3,,,,,,,,,,,,,,,,,,,,,
"Taillon, Jameson",592791,2023,31,30,154.1,655,21.4,6.3,0.259,0.462,0.322,0.332,6,3.8,38.4,22,49.1,38.4,28.1,23.9,9.6,R,2533,34.1,93.7,2329,-7.7,-14.2,18.6,0.9,0.4,82.2,2763,7.9,-30.2,12.8,1.5,3.1,86.5,1867,-14.5,-26.5,17.6,1.4,14.9,80.5,2727,10.4,-52.2,14.5,1.3,10.4,94,2269,-13.7,-16.9,19.7,1,22.2,88.6,2545,4,-23.4,12.3,1.9,,,,,,,,,,,,,,,15,80.9,2706,14.5,-40.1,15,1.4,,,,,,,,,,,,,,,,,,,,,
"Mikolas, Miles",571945,2023,34,35,201.1,860,15.9,4.5,0.291,0.498,0.33,0.354,8.6,2.7,43,16.7,49.7,39,27.7,26.6,6.7,R,3197,26,93.3,2275,-5.6,-16.3,16.3,1.4,24.3,86.4,2335,3.7,-33.4,5.6,1.9,5.4,84.4,1640,-14,-30.1,16.8,4,20,75.8,2490,7.8,-63,17,1.7,24.4,92.7,2193,-14.2,-20.7,18.3,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Anderson, Nick",623433,2023,32,35,35.1,141,25.5,6.4,0.237,0.4,0.279,0.295,5.2,0,41.7,27.8,48,40.6,21.9,26,11.5,R,548,48.9,94.2,2098,-5.7,-14,17.8,1,,,,,,,,,,,,,,,50,80.7,1933,2.4,-44.7,4,1.4,1.1,94.1,2115,-11.2,-13.8,20.6,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pérez, Cionel",672335,2023,27,65,53.1,247,17.8,10.9,0.243,0.334,0.311,0.301,5.8,6.4,41.9,19.8,46.2,62.8,14.5,18.6,4.1,L,877,26.5,96.8,2171,6.6,-13.7,16.9,1.2,30,83.9,2566,-12.2,-44.3,13.6,1.6,,,,,,,,6.5,83.5,2776,-10,-53.3,17.3,1.3,37.1,96.3,2196,14.8,-21.4,16.9,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
