"last_name, first_name",player_id,year,player_age,p_game,p_formatted_ip,pa,k_percent,bb_percent,xba,xslg,woba,xwoba,solidcontact_percent,poorlyweak_percent,hard_hit_percent,whiff_percent,swing_percent,groundballs_percent,flyballs_percent,linedrives_percent,popups_percent,pitch_hand,n,n_ff_formatted,ff_avg_speed,ff_avg_spin,ff_avg_break_x,ff_avg_break_z,ff_avg_break,ff_range_speed,n_sl_formatted,sl_avg_speed,sl_avg_spin,sl_avg_break_x,sl_avg_break_z,sl_avg_break,sl_range_speed,n_ch_formatted,ch_avg_speed,ch_avg_spin,ch_avg_break_x,ch_avg_break_z,ch_avg_break,ch_range_speed,n_cu_formatted,cu_avg_speed,cu_avg_spin,cu_avg_break_x,cu_avg_break_z,cu_avg_break,cu_range_speed,n_si_formatted,si_avg_speed,si_avg_spin,si_avg_break_x,si_avg_break_z,si_avg_break,si_range_speed,n_fc_formatted,fc_avg_speed,fc_avg_spin,fc_avg_break_x,fc_avg_break_z,fc_avg_break,fc_range_speed,n_fs_formatted,fs_avg_speed,fs_avg_spin,fs_avg_break_x,fs_avg_break_z,fs_avg_break,fs_range_speed,n_kn_formatted,kn_avg_speed,kn_avg_spin,kn_avg_break_x,kn_avg_break_z,kn_avg_break,kn_range_speed,n_st_formatted,st_avg_speed,st_avg_spin,st_avg_break_x,st_avg_break_z,st_avg_break,st_range_speed,n_sv_formatted,sv_avg_speed,sv_avg_spin,sv_avg_break_x,sv_avg_break_z,sv_avg_break,sv_range_speed,n_fo_formatted,fo_avg_speed,fo_avg_spin,fo_avg_break_x,fo_avg_break_z,fo_avg_break,fo_range_speed,n_sc_formatted,sc_avg_speed,sc_avg_spin,sc_avg_break_x,sc_avg_break_z,sc_avg_break,sc_range_speed
"Shreve, Chasen",592741,2023,32,50,44.2,193,23.3,7.3,0.247,0.417,0.325,0.314,3,3.8,38.2,28.5,47.9,44.4,27.1,21.8,6.8,L,742,36.4,90.5,2287,11.2,-17.5,19.6,0.9,1.1,87.1,2356,-1,-27.6,8.3,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.2,82,969,10.3,-37.4,11.5,1.1,,,,,,,,21.3,83.1,2260,-5,-37.2,6.4,1.3,,,,,,,,,,,,,,,,,,,,,
"Vasquez, Andrew",607755,2023,29,42,48.1,219,19.6,10.5,0.222,0.346,0.316,0.303,6.8,6.2,30.8,17.5,42.9,47.3,24,22.6,6.2,L,853,7.3,89.1,2221,9.7,-22.2,15.8,1.2,81.8,80.6,2647,-18.3,-46.3,18.8,1.2,1.5,83.2,2151,12.8,-46,15.2,1.4,5,76.1,2557,-18.1,-41.4,19.3,1.4,4.3,88.5,2180,17,-31,17.6,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Vásquez, Randy",681190,2023,24,11,37.2,166,19.9,10.8,0.267,0.441,0.303,0.352,4.5,6.4,38.2,17.9,46,37.3,26.4,28.2,8.2,R,669,26.2,94.4,2381,-7.5,-16,16.6,1.2,,,,,,,,11.8,87.8,2013,-18.2,-31.1,18.9,1.4,10.5,79.7,3062,15.9,-46.6,16.3,1.4,22.3,94.2,2326,-15.1,-19.3,19.2,1.2,16.6,87.7,2683,3.7,-30.7,7.2,2.1,,,,,,,,,,,,,,,12.7,80.9,3013,14.5,-39.4,15,1.3,,,,,,,,,,,,,,,,,,,,,
"Duarte, Daniel",650960,2023,26,31,31.2,136,16.9,14.7,0.193,0.31,0.31,0.292,3.3,4.3,32.6,24.5,47.9,50,22.8,15.2,12,R,572,26.7,95.6,2314,-8,-13.9,18,1.1,18.2,83.5,2781,14.5,-35.4,15.3,1.4,6.8,90,1879,-15.6,-28,16.7,1.3,,,,,,,,28.5,94.2,2220,-16.9,-21.4,19.4,1.2,19.8,91.4,2586,4.2,-22.9,10.8,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sánchez, Cristopher",650911,2023,26,19,99.1,396,24.2,4,0.247,0.409,0.296,0.299,7.5,5.7,40.2,26.4,48.2,57.7,19.9,20.6,1.8,L,1460,,,,,,,,21.1,82.7,2048,-1,-43.5,4.2,1.3,32.7,81.8,1887,17.3,-42.7,17.5,1.4,,,,,,,,46.2,92.1,1997,17.9,-27.4,18.7,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"King, John",667463,2023,28,35,37.1,157,12.7,6.4,0.286,0.407,0.327,0.324,1.6,6.3,37,21.5,49.5,66.9,12.6,19.7,0.8,L,527,0.4,93.7,1980,6.4,-21.9,11.5,1.5,8.2,85.1,2660,-0.8,-38.7,2.5,1.4,37.2,84.1,1536,16,-38.1,16.1,1.6,,,,,,,,54.3,93.7,2143,15.7,-29.1,16,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Castillo, Max",666721,2023,24,7,20.1,89,11.2,10.1,0.31,0.46,0.342,0.374,0,10.4,40.3,16.2,48.8,41.8,23.9,26.9,7.5,R,342,42.4,93.4,2189,-13.1,-17.4,19.4,1.1,31.6,83.6,2397,3.9,-33.5,7.7,1.7,26,87.1,1585,-14.4,-32.6,15.2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Faedo, Alex",656412,2023,27,15,64.2,262,22.1,7.6,0.226,0.414,0.287,0.302,7.1,2.7,33.9,23.5,47.7,36.1,30.6,23,10.4,R,1034,48.5,92.9,2417,-9.9,-15.7,18.9,1.2,38.1,82.3,2610,3.2,-41,4.4,1.7,13.3,85.9,1901,-16.8,-30.6,18.1,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Johnson, Pierce",572955,2023,32,67,62.2,277,32.5,10.8,0.235,0.378,0.335,0.305,5.7,2.5,47.1,33.1,46.8,37.6,22.3,35,5.1,R,1084,35.2,95.9,2306,-9.7,-15.2,17.5,1,8,88.1,2717,7.6,-34.9,8.3,1.6,,,,,,,,56.7,85.4,2949,8.9,-41.6,10.1,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Carlton, Drew",656290,2023,27,11,20.2,85,21.2,7.1,0.24,0.419,0.298,0.32,3.4,5.1,37.3,22.8,50.6,45.8,22,27.1,5.1,R,330,48.5,92.2,2121,-13,-19,18.7,1.3,18.8,82.6,2419,6.4,-39.2,7,1.6,10.6,84.9,1957,-16.5,-31.6,17.9,1.4,,,,,,,,22.1,91.2,1925,-18.2,-26.2,19.5,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Martinez, Adrián",661309,2023,26,22,55,241,19.5,7.9,0.28,0.453,0.341,0.352,3.5,4.1,37.6,23.1,45.5,38.2,24.7,30.6,6.5,R,943,,,,,,,,17.4,83.2,1950,1.7,-37.9,3.4,1.6,23.4,82.7,2287,-13.6,-44.5,14.7,1.4,,,,,,,,59.2,93.8,2109,-17.3,-23.5,19,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Neal, Zach",594943,2023,34,14,27,124,20.2,11.3,0.299,0.565,0.403,0.404,8.4,8.4,41,23.1,49.6,34.9,26.5,33.7,4.8,R,462,12.3,89,2288,-9,-20.7,16.6,1.2,,,,,,,,18.4,82.4,1514,-14.4,-36.5,15,1.5,9.7,69.8,2232,9.6,-66.2,13.9,1.7,27.7,89.2,2177,-16.2,-29.7,17,1.1,31.8,86.2,2213,0.5,-30.7,6.2,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bernardino, Brennan",657514,2023,31,55,50.2,216,26.9,8.3,0.243,0.377,0.313,0.311,5.2,5.2,32.8,24.7,40.7,49.3,16.4,27.6,6.7,L,864,,,,,,,,,,,,,,,1.4,82.4,1670,15.6,-37,16,1.4,42.7,77.6,2616,-16.8,-47.4,17.1,1.3,55.9,90.8,2095,15.1,-27.5,16.4,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Priester, Quinn",682990,2023,22,10,50,234,15.4,11.5,0.297,0.48,0.394,0.376,6,4.2,47,23.3,44.6,53,17.9,23.2,6,R,866,19.1,92.7,2355,-1.8,-18.9,13.1,1.7,23.3,85.3,2486,4.6,-39.8,5.6,1.4,10.4,89.1,1511,-14,-29.2,15.1,1.5,13,80.6,2633,5.6,-53,12.5,1.2,34.2,93.6,2179,-12.6,-24.3,14.4,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gore, MacKenzie",669022,2023,24,27,136.1,582,25.9,9.8,0.261,0.472,0.339,0.347,6.7,3.8,43.7,27.9,48.5,39.1,28.7,26.5,5.6,L,2462,59.5,95,2286,4.2,-12.9,18.1,1.3,18.2,88.6,1970,-2.5,-28.9,6.5,1.4,2.9,86.5,2175,14,-25.5,18,1.6,18.8,83.2,2310,1.2,-46.3,7.5,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,84.6,2196,-9.2,-39.4,10.2,1.3,,,,,,,,,,,,,,,,,,,,,
"Cabrera, Edward",665795,2023,25,22,99.2,434,27.2,15.2,0.199,0.33,0.315,0.3,4.5,3.3,35.4,30.9,43.1,55.7,22,15.4,6.9,R,1802,27.9,96.2,2301,-9.2,-13.5,18.6,1.2,8.1,88.2,2473,2.7,-33.3,4.3,1.7,31.4,92.9,1700,-16.6,-23.9,18.5,1.4,23.4,84.6,2595,10.2,-45.8,12.9,1.8,9.3,96.1,2231,-15.4,-19,18.9,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Thielbar, Caleb",573204,2023,36,36,30.2,120,30,5,0.222,0.421,0.293,0.292,6.4,3.8,35.9,23.7,50.1,37.2,30.8,20.5,11.5,L,481,52.2,93.1,2284,4.3,-12.9,19.2,1.1,5.8,88.4,2320,-3.1,-29.5,6.5,1.3,,,,,,,,20.6,73.6,2492,-10.2,-67.7,19.7,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.4,80.3,2454,-15.2,-42.3,15.5,1.4,,,,,,,,,,,,,,,,,,,,,
"Flexen, Chris",623167,2023,28,29,102.1,466,15.9,8.2,0.297,0.509,0.392,0.374,6.9,3.7,41.4,22.3,48,38.9,24.9,28.6,7.7,R,1755,40.9,91.9,2117,-0.2,-15.7,16.6,1.2,6.7,81.5,2537,3,-46,6.2,1.8,16,81,1300,-11,-32.9,14,1.4,2.3,71.7,2471,7.2,-65.8,14.8,1.6,1.9,90.9,1922,-7.3,-18.2,16.4,1.3,29.3,87.9,2339,7,-28.8,9.7,1.5,,,,,,,,,,,,,,,3,79.3,2494,15.4,-46.8,16.1,1.3,,,,,,,,,,,,,,,,,,,,,
"Walker, Ryan",676254,2023,27,49,61.1,263,29.7,9.1,0.21,0.314,0.328,0.272,4.4,6.3,26.4,32,45.5,44,27,22.6,6.3,R,1078,,,,,,,,50.3,83.2,2545,14.6,-38.2,15,1.1,,,,,,,,0.1,72.7,1780,12.2,-48.4,12.7,,49.6,94.8,2230,-14.5,-28,14.9,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Williams, Trevor",592866,2023,31,30,144.1,658,16.9,7.9,0.281,0.501,0.377,0.36,5.7,4.9,38.6,19,47.1,40,27.3,24.5,8.2,R,2622,43.2,89.7,2204,-6.4,-22.6,13.2,1.5,15.5,81.7,2179,5.6,-37.8,6.7,1.2,17,83.3,1686,-14.4,-36.3,14.9,1.4,6.9,76.7,2231,8.6,-48.7,9.1,1.2,14.6,88.2,1867,-15.2,-32.2,15.7,1.3,,,,,,,,,,,,,,,,,,,,,,2.8,76.7,2238,14.2,-41.8,15.4,1.2,,,,,,,,,,,,,,,,,,,,,
"De Los Santos, Enyel",660853,2023,27,70,65.2,262,23.7,9.5,0.241,0.39,0.282,0.315,7,4.1,33.3,27.4,49.7,40.4,28.7,27.5,3.5,R,1048,60.5,95.6,2266,-11.5,-16.8,17.5,1.3,30.4,84.1,2187,2.3,-38.1,2.9,1.3,9.1,87.8,1895,-17,-28.3,18.6,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bieber, Shane",669456,2023,28,21,128,533,20.1,6.4,0.284,0.446,0.307,0.336,5.4,3.1,47.8,24.2,46.1,47.5,22,26.1,4.4,R,1954,35.2,91.3,2242,-9.6,-15.7,19.7,0.9,20.7,84.6,2532,3.1,-37.7,4.3,1,3.5,87.2,1660,-14,-28.6,16.3,1,13.7,82.5,2239,11.6,-50.1,15.4,1.1,,,,,,,,26.9,86.5,2470,2.5,-29.2,7.8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Herget, Kevin",643361,2023,32,14,24.1,105,12.4,5.7,0.274,0.519,0.346,0.358,6,2.4,44,19.5,47.8,33.3,31,27.4,8.3,R,418,44,92.2,2143,-6.5,-15.7,17.9,1.5,9.8,83.6,2214,1.8,-39.8,4.2,1.7,35.2,83.3,2016,-14.8,-28,18.9,1.4,5.3,76.3,2161,3.7,-62.2,15.5,1.5,0.2,92.2,2131,-14.7,-16.4,21.9,,1.7,89.1,2124,1.9,-25.7,8.7,1.4,,,,,,,,,,,,,,,3.8,81.2,2238,9.9,-46.8,12.1,1.6,,,,,,,,,,,,,,,,,,,,,
"Lee, Dylan",669276,2023,28,24,23.2,101,23.8,7.9,0.278,0.503,0.326,0.36,1.4,5.8,39.1,30,53.7,40.6,26.1,27.5,5.8,L,391,40.2,91.8,2249,7,-13,20.8,1.3,47.6,83.3,2069,-2.8,-35,5.4,1.5,12.3,85.6,1590,11.7,-25.7,16.8,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Corbin, Patrick",571578,2023,33,32,180,790,15.7,7.2,0.303,0.518,0.353,0.373,7.4,3.3,44,21.2,45.7,45.3,25.3,24.5,5,L,2922,16.9,91.8,2095,8.3,-18.7,16.2,1.2,35,80.5,2150,-2.6,-42.1,3.3,2.5,6.4,81.2,1563,12.7,-32.7,15.6,2,,,,,,,,41.7,92.1,2039,14.6,-21.9,18.1,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gray, Josiah",680686,2023,25,30,159,698,20.5,11.5,0.254,0.433,0.332,0.342,4.5,4.5,36.7,26.1,46.4,38,27.7,24.5,9.9,R,2812,17,93.5,2128,-11.3,-15.9,19.3,1.2,24.6,85.9,1878,1,-30.9,6.5,1.2,1.6,88.6,1617,-13.4,-26.1,16.1,1.3,16.2,82.2,2380,1.7,-44.1,4.9,1.2,17.2,93.1,2120,-14.7,-18.5,19.8,1.3,17.8,88.8,2003,-0.8,-26.1,8.8,1.2,,,,,,,,,,,,,,,5.5,81.9,2466,9,-38.9,9.7,1.1,,,,,,,,,,,,,,,,,,,,,
"Gibaut, Ian",664139,2023,29,74,75.2,318,21.7,8.8,0.237,0.37,0.298,0.299,4.6,4.2,31.9,25.5,51.7,40.7,28.7,23.1,7.4,R,1214,44,95.2,2234,-5.1,-13,18.1,1.2,,,,,,,,8.1,86,1925,-15.9,-31.1,17.2,1.4,,,,,,,,,,,,,,,27.1,91.6,2331,4.1,-22.5,11,1.4,,,,,,,,,,,,,,,20.8,84.2,2497,14.5,-35.3,15.3,1.7,,,,,,,,,,,,,,,,,,,,,
"Severino, Luis",622663,2023,29,19,89.1,417,18.9,8.2,0.286,0.496,0.39,0.366,5,3.7,45,20.6,51.5,43.3,24.5,26.2,6,R,1636,44.9,96.5,2267,-7.4,-13.4,17.8,1.7,18.8,84.7,2667,10.3,-40.1,10.7,2.1,18.6,86.7,1561,-13.4,-27.8,16.2,1.8,,,,,,,,2.8,95.7,2126,-13.8,-16.5,19.3,1.6,15,90.8,2399,4.1,-28.2,7.9,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eovaldi, Nathan",543135,2023,33,25,144,577,22.9,8.1,0.238,0.397,0.296,0.308,9.2,3.3,43.1,26.3,47.8,51.5,21.4,22.2,4.8,R,2232,37.2,95.1,2168,-12.5,-16.7,18.6,1.6,4,83.9,2145,6.8,-37.7,7.2,1.5,,,,,,,,13.5,76,1956,9.2,-56.2,12.9,1.6,,,,,,,,17.6,90.6,2325,0.6,-23.3,10.3,1.7,27.6,87.9,1641,-13.4,-33.8,13.7,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Loáisiga, Jonathan",642528,2023,28,17,17.2,69,8.7,1.4,0.23,0.325,0.241,0.253,6.7,3.3,30,15.5,54.7,55,25,15,5,R,236,5.9,97.9,2400,-10.2,-13.1,18.7,1.4,,,,,,,,9.7,90.3,1908,-17.6,-24.1,20.2,1.5,14.4,86.2,2624,11.8,-33.2,13.1,1.3,69.9,97.8,2312,-18.2,-19.1,20.7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Stewart, Brock",592779,2023,31,28,27.2,109,35.8,10.1,0.187,0.281,0.242,0.242,8.6,1.7,31,41.5,51,37.9,24.1,29.3,8.6,R,439,39.2,97.3,2604,-7.9,-13.4,17.5,1.1,,,,,,,,8.4,88.9,1533,-13,-31.8,13.4,1.3,,,,,,,,10.7,96.6,2387,-16,-23.9,17,1.2,20.3,93.2,2437,2.3,-22.8,9.5,1.6,,,,,,,,,,,,,,,21.4,84.7,2537,15.6,-34.9,16.2,1.4,,,,,,,,,,,,,,,,,,,,,
"Peguero, Elvis",665625,2023,26,59,61.1,252,21.4,10.3,0.238,0.343,0.28,0.301,7.1,3,38.1,31.1,46.5,56,19.6,21.4,3,R,913,,,,,,,,50.9,90.6,2497,2.5,-33,3.7,1.3,,,,,,,,,,,,,,,49.1,96,1855,-16.6,-27.8,16.8,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sands, Cole",663485,2023,25,15,21.2,99,21.2,14.1,0.263,0.491,0.34,0.369,10.9,3.1,54.7,18.8,43.8,39.1,34.4,20.3,6.3,R,413,38,93.8,2345,-11.4,-17.2,18.2,1.2,,,,,,,,,,,,,,,18.9,80.4,2925,16.4,-48.4,17.7,1.4,11.9,92.9,2246,-17,-26.3,18,1.1,7.3,88.5,2427,1.7,-27.8,7.5,1.5,24,86.2,1271,-11.2,-37.9,11.6,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nelson, Ryne",669194,2023,25,29,144,619,15.5,7.4,0.269,0.488,0.357,0.349,5.5,3.4,42.7,20.3,49.8,37.5,31.2,22.9,8.4,R,2355,54.6,94.4,2210,-4.1,-12.6,18.7,1.6,13.4,81.7,2405,12.7,-42.2,13.3,1.5,13.3,83.3,1713,-13.9,-30.9,16.5,1.8,5.2,76.4,2492,6.5,-58.2,13.1,1.6,,,,,,,,13.5,85.6,2325,4.3,-35.8,5,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lynn, Lance",458681,2023,36,32,183.2,808,23.6,8.3,0.252,0.461,0.347,0.337,5.9,5,39.3,28.7,50.1,36.3,30.6,24.1,9.1,R,3167,43.7,92.4,2424,-3.2,-18.4,14,1.3,6.2,83.1,2464,3.7,-42.5,5.4,1.4,7,84.9,1805,-14.1,-31.7,15.6,1.3,7.4,80.8,2508,14.1,-42.8,14.4,1.5,12.6,91.4,2258,-11.7,-25.8,13.8,1.4,23,88.7,2574,2.6,-28.8,6.9,1.7,,,,,,,,,,,,,,,0.2,81.3,2510,10,-38.3,10.8,1.4,,,,,,,,,,,,,,,,,,,,,
"Clarke, Taylor",664199,2023,30,58,59,266,24.4,9,0.251,0.468,0.376,0.344,4.6,6.4,41.6,27.6,50.3,31.8,32.4,24.9,11,R,1068,29,94.8,2249,-5,-13,18.3,0.9,37,88.5,2191,4.4,-29.8,7.1,1.3,15.4,89.1,1583,-15.2,-28.2,16.6,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.6,83.9,2488,11.2,-41.3,11.8,1.2,,,,,,,,,,,,,,,,,,,,,
